id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,АҚШ-тың Димнастика федерациясы АҚШ Олимпиада комитетінің қатын қолдайды және біздің барлық спортдер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін бойындайды.,ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақш тың димнастика федерациясы ақш олимпиада комитетінің қатын қолдайды және біздің барлық спортдер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін бойындайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,"Она Вичи француздар билеген, бұл 1940 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.",оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,она вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,Ешкілер алғаш рет қол үйретілген уақыт иранның загроз тауларында шамамен он мың жыл бұрын деп саналады.,ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкілер алғаш рет қол үйретілген уақыт иранның загроз тауларында шамамен он мың жыл бұрын деп саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,Сондықтан бұл пішімнің арақатынаса ең қарапайым бүтін санының қатынасын алу үшін 12-ге бөліу 3-ті 2-деп аталады.,сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондықтан бұл пішімнің арақатынаса ең қарапайым бүтін санының қатынасын алу үшін 12 ге бөліу 3 ті 2 деп аталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,"Ватикан қаласы халқының саны шамамен 800, бұл дүниежүзіндегі ең шағын тәуелсіз ел және халық саны ең әз ел.",ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан қаласы халқының саны шамамен 800 бұл дүниежүзіндегі ең шағын тәуелсіз ел және халық саны ең әз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,Hueyn қызметтен кетуді сұранды және оны кабинетте Ed Dewey MP ауыстырады. Norman Lamp MP Dewey босатып жатқан бизнес министрі жұмысын «алады» деп күтілуде.,хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,hueyn қызметтен кетуді сұранды және оны кабинетте ed dewey mp ауыстырады norman lamp mp dewey босатып жатқан бизнес министрі жұмысын алады деп күтілуде
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге португал тілін үйрені оңайырақ олатынын айтпайық қойсады болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін үйрені оңайырақ олатынын айтпайық қойсады болады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,Тауарларды тасымалдау үшін киімелерді пайдалану әзірше адамдардық және тауарладың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,тауарларды тасымалдау үшін киімелерді пайдалану әзірше адамдардық және тауарладың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпайық қойса да болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпайық қойса да болады
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.",Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде Похутокава ағаштарымен қамтамасыз етілген.,олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутокава ағаштарымен қамтамасыз етілген
1706,"Дәстүрлірек шіркеулер Пасха демалыс күндері сенбі түні пасхалық таңғы ғибадатты өткізеді, жиналыстар жиі түн ортасында Мәсіхтің қайта тірілуін мерекелеуге айналады.","Дәстүрлірек шіркеулер пасқа демалыс күндері сенбі түні пасқалық таңғы ғиғбадатты өткізеді, жиналыстар жиі түн ортасында мәсіқтің қайта түрлуін мерекелеуге айналады.",дәстүрлірек шіркеулер пасха демалыс күндері сенбі түні пасхалық таңғы ғибадатты өткізеді жиналыстар жиі түн ортасында мәсіхтің қайта тірілуін мерекелеуге айналады,дәстүрлірек шіркеулер пасқа демалыс күндері сенбі түні пасқалық таңғы ғиғбадатты өткізеді жиналыстар жиі түн ортасында мәсіқтің қайта түрлуін мерекелеуге айналады
