id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,"Төтенше жағдайларды басқару агенттігінің дерегінше, Танкер Лафияма Курди жоғлы бойындағы жанар жағарма бекетінде жарлыңын.",төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафияма курди жоғлы бойындағы жанар жағарма бекетінде жарлыңын
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мұндай нормы қалық тенсаулығы және тенсаулық сақты жүйесі туралы Кодекстін жаңа редакциясына қарастырылған.,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай нормы қалық тенсаулығы және тенсаулық сақты жүйесі туралы кодекстін жаңа редакциясына қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,"Бұл оның соңғы сайысы емес еді, осыдан кейін Мэриком 2014 жылықайта чемпион Аданады.",бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайысы емес еді осыдан кейін мэриком 2014 жылықайта чемпион аданады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нұрсылтан әбішілін Азарбаев біздің жерлесіміз.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұрсылтан әбішілін азарбаев біздің жерлесіміз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бұл маған жұнбақ болып қалды, ақын керек дейтінде өбір сонша негез арбол декен.",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бұл маған жұнбақ болып қалды ақын керек дейтінде өбір сонша негез арбол декен
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,Бірінше және екінше тармақтар ұлттық басқару «холдингтерінің» ұлттық холдингтерінің ұлттық компаниялардың жұмшыларына қатысы жоқ.,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінше және екінше тармақтар ұлттық басқару холдингтерінің ұлттық холдингтерінің ұлттық компаниялардың жұмшыларына қатысы жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,"Жандардың күйудесін лаулатып тұрыпты, күлім шоқ бір.",жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың күйудесін лаулатып тұрыпты күлім шоқ бір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер отағының силіғін алды.,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер отағының силіғін алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Корольдік әкімшілікті орталықтан дұрады, соттарды өзгерттіп саңдардың жаңа кодексын жасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтан дұрады соттарды өзгерттіп саңдардың жаңа кодексын жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,"«Бірақ қасықтап қар шығарғанымен, бұрап жауып жатса амал барма», — дейті жұмысшылар.",бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен бұрап жауып жатса амал барма дейті жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,Атан солай деп айтты деп мақтанып қалды.,атам солай деп айтты деп мақтанып қалды,атан солай деп айтты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,Қара 200-ора баққан бұл қалаға әліккен кеше келген орым бордан.,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,қара 200 ора баққан бұл қалаға әліккен кеше келген орым бордан
