id,ref,hyp,ref_norm,hyp_norm
1904,"However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.",however due to the slow communication channels styles in the west could lag behind by f to t years,however due to the slow communication channels styles in the west could lag behind by 25 to 30 year,however due to the slow communication channels styles in the west could lag behind by f to t years
1675,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.",all nowns alongside the world's say for you always begin with a capital letter even in the middle of a sentence,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence,all nowns alongside the world s say for you always begin with a capital letter even in the middle of a sentence
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,to the north and within easy reach is a romantic and fascinating town of cintra and which was made famous to foreigners after a glowing account of its splendures recorded by lord byron,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron,to the north and within easy reach is a romantic and fascinating town of cintra and which was made famous to foreigners after a glowing account of its splendures recorded by lord byron
1728,The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,the cabig juse changes color depending on how astitic basic alcoline the chemical is,the cabbage juice changes color depending on how acidic or basic alkaline the chemical is,the cabig juse changes color depending on how astitic basic alcoline the chemical is
1972,Many people don't think about them as dinosaurs because they have feathers and can fly.,many people don't think about them as dinosors because they have feathers and can fly,many people don t think about them as dinosaurs because they have feathers and can fly,many people don t think about them as dinosors because they have feathers and can fly
1938,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",the hospitle has followed protocol for infection control including separating the patient from others to prevent possible infection of others,the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others,the hospitle has followed protocol for infection control including separating the patient from others to prevent possible infection of others
1876,The Northern Marianas emergency management office said that there were no damages reported in the nation.,the northern mariana's emergency management office said that there were no damages reported in the nation,the northern marianas emergency management office said that there were no damages reported in the nation,the northern mariana s emergency management office said that there were no damages reported in the nation
1914,Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.,twentieth century research has shown that there are two pules of genetic variation hidden and expressed,twentieth century research has shown that there are two pools of genetic variation hidden and expressed,twentieth century research has shown that there are two pules of genetic variation hidden and expressed
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,the aspect ratio of this format dividing by twv to obtain the simplest whole number ratio is therefore said to be free to two,the aspect ratio of this format dividing by twelve to obtain the simplest whole number ratio is therefore said to be 3 2,the aspect ratio of this format dividing by twv to obtain the simplest whole number ratio is therefore said to be free to two
1806,"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.",as light pollution in their hayday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times,as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times,as light pollution in their hayday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",the night between ot and  copies were made now known as dunlap broadsizes,through the night between 150 and 200 copies were made now known as dunlap broadsides,the night between ot and copies were made now known as dunlap broadsizes
1729,"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.",for example each year students from bennett school ind north carolina designe a website about their trip to the state capital each year the website gets remodeled but old versions are kept on line to serve as a scrap book,for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook,for example each year students from bennett school ind north carolina designe a website about their trip to the state capital each year the website gets remodeled but old versions are kept on line to serve as a scrap book
1855,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.",lion prize acts much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behaviour and also very deadly to their prey,lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey,lion prize acts much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behaviour and also very deadly to their prey
1919,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,the city is also the base to climb the niraigango volcano along with some of the cheapest mountain gerilla trafficking in africa,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa,the city is also the base to climb the niraigango volcano along with some of the cheapest mountain gerilla trafficking in africa
1802,The Internet combines elements of both mass and interpersonal communication.,the internet combines elements of both mass and interpersonal communication,the internet combines elements of both mass and interpersonal communication,the internet combines elements of both mass and interpersonal communication
1711,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,these fellis look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things,these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things,these fellis look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things
1685,"For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.",for example the most common still image photography format in the world is  mm which was the dominant film size at the close of the analogue film era,for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era,for example the most common still image photography format in the world is mm which was the dominant film size at the close of the analogue film era
1992,"The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.",the term stafari and popular loose refers to overland travel to view the stunning african wildlife particularly on savanna,the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna,the term stafari and popular loose refers to overland travel to view the stunning african wildlife particularly on savanna
2005,But there are a lot of things about birds that still look like a dinosaur.,but they are a lot of things about boards that still wook like a dian sor,but there are a lot of things about birds that still look like a dinosaur,but they are a lot of things about boards that still wook like a dian sor
1982,"Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.",women is recommended that any women travellers say that they are married regardless of actual merital status,women it is recommended that any women travellers say that they are married regardless of actual marital status,women is recommended that any women travellers say that they are married regardless of actual merital status
1674,"In some areas boiling water for a minute is enough, in others several minutes are needed.",in some areas boiling water for a minute is enough and other several minutes are needed,in some areas boiling water for a minute is enough in others several minutes are needed,in some areas boiling water for a minute is enough and other several minutes are needed
1952,"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.",anyone who is going to drive at hat lititudes or over mountain passes should consider the possibility of snow ice or freezing temperatures,anyone who s going to drive at high latitudes or over mountain passes should consider the possibility of snow ice or freezing temperatures,anyone who is going to drive at hat lititudes or over mountain passes should consider the possibility of snow ice or freezing temperatures
1752,"As a result, two fish species have become extinct, and two others have become endangered, including the humpback chub.",as a result two fish species have become extinct and two others have become endangered including the hump back chub,as a result two fish species have become extinct and two others have become endangered including the humpback chub,as a result two fish species have become extinct and two others have become endangered including the hump back chub
