id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.",в древнем китаи использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особы династией,в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китаи использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особы династией
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природо,мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,мадагаскар намного больше других и является самобытным континентом в том что касается дикой природо
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.",во всех научных вопросах включая психологию были приняты взгляды арестотеля,во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды арестотеля
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановления зданий после урагана катрина которые некоторые фискальные консерваторы в шутку назвали новоорлианской сделкой буша,причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановления зданий после урагана катрина которые некоторые фискальные консерваторы в шутку назвали новоорлианской сделкой буша
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.",в 1919 году он был добавлен всписок всемирного наследия находящегося под угроза и-за опасности со стороны писку в пустыне,в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1919 году он был добавлен всписок всемирного наследия находящегося под угроза и за опасности со стороны писку в пустыне
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",согласно ядерному управлению японии на заводе были обнаружены радиоактивной цезей ийот,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,согласно ядерному управлению японии на заводе были обнаружены радиоактивной цезей ийот
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклека на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы aрv 2002,надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклека на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы aрv 2002
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.",только мутации в клетках за родошевой линии могут передаваться далее детям в то время как мутация где-то ещё могут привести к гибеле клеток или рагу,только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутации в клетках за родошевой линии могут передаваться далее детям в то время как мутация где то еще могут привести к гибеле клеток или рагу
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.",не оскверняйте это место нанося или воцераповоя граффике на объекты вокруг,не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место нанося или воцераповоя граффике на объекты вокруг
