id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,"Ақыштың димнастика федерациясы Ақыш Олимпиады қамитетінің ханғылдайды, және біздің барлық спартсмендерішін, хоршаған үртаның қаупсыдың, арттырудың абсалюттық ажеттілің бойындайды.",ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақыштың димнастика федерациясы ақыш олимпиады қамитетінің ханғылдайды және біздің барлық спартсмендерішін хоршаған үртаның қаупсыдың арттырудың абсалюттық ажеттілің бойындайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,"Оны вичі француздар белеген, бол бірмін тұғыжыс қырыңын шыжалы, немістермен бейбыт келесін жасыскан, және сұғу судын орнының жаулау сұларменбірге жұмысыстеген француздар болды.",оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,оны вичі француздар белеген бол бірмін тұғыжыс қырыңын шыжалы немістермен бейбыт келесін жасыскан және сұғу судын орнының жаулау сұларменбірге жұмысыстеген француздар болды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,"Ешкелер алғашрет, қол и ретелген вақыт, Ираның зағроз тауларында, Шамамен он мүң жылбұрындеп саналады.",ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкелер алғашрет қол и ретелген вақыт ираның зағроз тауларында шамамен он мүң жылбұрындеп саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,"Сондықтан болп үшімдің арақаднаса, ең қарапайым бүдін санлың картнасын алушын үн екеге бөлю, үшті екедеп аталады.",сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондықтан болп үшімдің арақаднаса ең қарапайым бүдін санлың картнасын алушын үн екеге бөлю үшті екедеп аталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,"Ватикан-қаласы халқының саны шамамен сегі жөз. Бұл дүне ежізіндегі ең шағым тавелсіз ел, және халық саны ең оаз ел.",ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан қаласы халқының саны шамамен сегі жөз бұл дүне ежізіндегі ең шағым тавелсіз ел және халық саны ең оаз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,"Хюм қізметтен кетіңдің сүранды, кәне воны кабинетті әдддеви-эмпи австрада, норманд лэмп-эмпи-деви босатып жаткан бизнес министері жүмісін алады деп күтіліде.",хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хюм қізметтен кетіңдің сүранды кәне воны кабинетті әдддеви эмпи австрада норманд лэмп эмпи деви босатып жаткан бизнес министері жүмісін алады деп күтіліде
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер, сіз рамандық тілді біл сенес, сізге Португалталін өрені ұңаері қолатынын айтпаяқ қойсады болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді біл сенес сізге португалталін өрені ұңаері қолатынын айтпаяқ қойсады болады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,"Таварларды тасымалдауышын, ки миллиерды пайдаланың әзірші адамдардың женеі таварлардың үлкен мүлшірлерін мохиттарда жылжы тудың еген теймді жолы болып табылады.",тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,таварларды тасымалдауышын ки миллиерды пайдаланың әзірші адамдардың женеі таварлардың үлкен мүлшірлерін мохиттарда жылжы тудың еген теймді жолы болып табылады
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тәлді білсеніз, сізге Португалтален ирені оң айрак болатының айтпаяқ койсада болаты.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тәлді білсеніз сізге португалтален ирені оң айрак болатының айтпаяқ койсада болаты
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.","Олар қаупсіз жізюге арнауын құмды жақажайлардың барлығына дерілык, және олардың қопшылығынды, бақу тұқауа ақаштарымен қамтамасыз етіліген.",олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,олар қаупсіз жізюге арнауын құмды жақажайлардың барлығына дерілык және олардың қопшылығынды бақу тұқауа ақаштарымен қамтамасыз етіліген
