id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.",В древнем китай использовали уникальный способ обозначения передов времени. Каждый этап китай или каждое семья находившаяся у власти. Были особо династии.,в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китай использовали уникальный способ обозначения передов времени каждый этап китай или каждое семья находившаяся у власти были особо династии
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.","Модогаскар намного больше других и является самобытным континентом, в то, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,модогаскар намного больше других и является самобытным континентом в то что касается дикой природы
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.",Во всех научных вопросах включая психологию были приняты взгляды рестотеля.,во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды рестотеля
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.","В различных местах Рима были установлены большей, телевизионные экраны, с помощью которых люди могли наблюдать с ремонией.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большей телевизионные экраны с помощью которых люди могли наблюдать с ремонией
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".","Причиной дебатов стали разногласия относительно затратно оказания материальной поддержки и восстановления стани после урогана Катрина, который некоторые фискальные консерваторы в шутку назвали новарлянской сделкой Буши.",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиной дебатов стали разногласия относительно затратно оказания материальной поддержки и восстановления стани после урогана катрина который некоторые фискальные консерваторы в шутку назвали новарлянской сделкой буши
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.","В 1990 году он был добавлен в список в Семерного наследия, находящаяся под огроза из опасности со стороны писков пустыни.",в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1990 году он был добавлен в список в семерного наследия находящаяся под огроза из опасности со стороны писков пустыни
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",Соклассной ядерному управлению Епонии на заводе были обнаружены радиоактивной цивей иют.,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,соклассной ядерному управлению епонии на заводе были обнаружены радиоактивной цивей иют
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).","На длижащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путем активного отклика на интернет-материалы учащейся могут определять свою позицию в контексте, чужих работ, а также излагарь свой собственный эксклядный наканкетные вопросы.",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,на длижащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащейся могут определять свою позицию в контексте чужих работ а также излагарь свой собственный эксклядный наканкетные вопросы
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Только мутации в клетках зародашего линии могут передаваться далее, где это может привести гиблик леток или раку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутации в клетках зародашего линии могут передаваться далее где это может привести гиблик леток или раку
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.","Не оскверняйте это место, но вся или выцироповая графитина объекта вокруг.",не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место но вся или выцироповая графитина объекта вокруг
1903,"Когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации, то могут проявиться креативность и изобретательность.","Когда все доступные ресурсы эффективно используются в всех функциональных подразделения организации, то могут появиться креативность и изобретательность.",когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступные ресурсы эффективно используются в всех функциональных подразделения организации то могут появиться креативность и изобретательность
1725,"Серия ASUS Eee PC, ранее представленная во всём мире с ориентацией на такие факторы, как экономия средств и функциональность, стала горячей темой во время месяца информационных технологий в Тайбэе в 2007 году.","Серия ASUS и PC ранее представленная во всем мире сориноцией на такие факторы, как экономия средств и функциональность, стало горячей темы во время месяца информационных технологий в Тайбе 2007 году.",серия asus eee pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,серия asus и pc ранее представленная во всем мире сориноцией на такие факторы как экономия средств и функциональность стало горячей темы во время месяца информационных технологий в тайбе 2007 году
1762,"Переносчиками являются свиньи, от которых через комаров болезнь затем передаётся человеку.","Переночками являются свиньи, вот которых через кумуров болезть затем передается человеку.",переносчиками являются свиньи от которых через комаров болезнь затем передается человеку,переночками являются свиньи вот которых через кумуров болезть затем передается человеку
1668,"Также может быть выгодно купить Wild Card, которая позволяет посещать национальные парки ЮАР либо выборочно, либо все.","Также может быть выходным купить вилкар, которая позволяет посещать национальные парки и ор, либо выброшну, либо все.",также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,также может быть выходным купить вилкар которая позволяет посещать национальные парки и ор либо выброшну либо все
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.",Только мутации в клетках зародышевые линии могут передаваться далее детям. В то время к мутации где-то еще могут привести гиблик лета к лираку.,только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутации в клетках зародышевые линии могут передаваться далее детям в то время к мутации где то еще могут привести гиблик лета к лираку
1780,"Энергия кундалини (энергия просветления) в кундалини-йоге пробуждается через позы йоги, дыхательные упражнения, мантры и визуализации.","Анария Кундалини, Анария просветления. В Кундалини Йои пробуждается через позиеме, дыхательные упражнения, мантр и визолизации.",энергия кундалини энергия просветления в кундалини йоге пробуждается через позы йоги дыхательные упражнения мантры и визуализации,анария кундалини анария просветления в кундалини йои пробуждается через позиеме дыхательные упражнения мантр и визолизации
1822,"Султан Марокко перестроил город под названием Эд-Дар-эль-Бейда, а испанские торговцы, создавшие тут торговые базы, назвали его Касабланка.","Сультан Морока перестроил город по названием Эдар Эльбейда. Айспанский торговц, создавший тут торговый базов, назвали его Косабланка.",султан марокко перестроил город под названием эд дар эль бейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,сультан морока перестроил город по названием эдар эльбейда айспанский торговц создавший тут торговый базов назвали его косабланка
1763,"Так же, как Луна притягивает Землю, при этом вызывая приливы, так и Млечный Путь воздействует на галактику в Стрельце.","Также как Луна претягивает землю, при этом вызывая приливы так и млеечный путь воздействует на галактику стрельцы.",так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику в стрельце,также как луна претягивает землю при этом вызывая приливы так и млеечный путь воздействует на галактику стрельцы
1884,"В частности, утверждается, что можно определить, лжет ли человек, при помощи правильной интерпретации его микровыражений.","В частности, кто ожидается, что можно определить в жот лечеловек при помощи правильной интерпретации его микроворожений.",в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,в частности кто ожидается что можно определить в жот лечеловек при помощи правильной интерпретации его микроворожений
1722,53-летний Куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце.,"50-3 лет никого начался в seu деятельность на постугубернатора. В начале этого года и подписался, законопроект олегализации на полых браков прошлом месяце.",53 летний куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,50 3 лет никого начался в seu деятельность на постугубернатора в начале этого года и подписался законопроект олегализации на полых браков прошлом месяце
1768,"Большинство зданий по краям комплекса было перестроено, чтобы дать туристам более точное представление о том, как они выглядели изначально.","Большинство зданий по краям комплекса было перестроено, чтобы дать туристам более точное представление о том, как они выгляли изначально.",большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выгляли изначально
1891,Лаккха Сингх исполнил чхаппан бхог бхаджан.  Певец Раджу Кханделвал пел вместе с ним.,"Лак и синхис полнил чхапан Хоп хаджан, вец Раджу. Кханделвал пил вместе с ним.",лаккха сингх исполнил чхаппан бхог бхаджан певец раджу кханделвал пел вместе с ним,лак и синхис полнил чхапан хоп хаджан вец раджу кханделвал пил вместе с ним
1962,Показатель pH определяется степенью насыщенности ионами водорода (H в pH) исследуемого химического соединения.,Показатель пиаж определяется с крепими у насыщенности и онами водорода. Аж пиаж исследоваем его в ахимического соединения.,показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,показатель пиаж определяется с крепими у насыщенности и онами водорода аж пиаж исследоваем его в ахимического соединения
1861,"В результате актёры курят косяки с марихуаной на сцене, и сам театр поощряет публику присоединиться.",В результате актера куляет косики с морехоны на сцене и сам театр поощряет публику при сайдинице.,в результате актеры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,в результате актера куляет косики с морехоны на сцене и сам театр поощряет публику при сайдинице
1715,"Обычные объявления в метро делаются только на каталонском языке, но незапланированные перебои объявляются автоматизированной системой на самых разных языках, включая испанский, английский, французский, арабский и японский.","Обучные объявления в метро делаются только на католонском языке, но не запланированные перебои объявляются автоматизированные системы на самых разных языках, включая испанский англинский французский арабский и японский.",обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,обучные объявления в метро делаются только на католонском языке но не запланированные перебои объявляются автоматизированные системы на самых разных языках включая испанский англинский французский арабский и японский
1882,"Учёные надеются понять, как образуются планеты, особенно то, как образовалась Земля, поскольку кометы сталкивались  с Землёй очень давно.","Ученые надеются понять, как образуется планета, особенно то, как образовалась земля поскольку кометы сталкивались землей очень давно.",ученые надеются понять как образуются планеты особенно то как образовалась земля поскольку кометы сталкивались с землей очень давно,ученые надеются понять как образуется планета особенно то как образовалась земля поскольку кометы сталкивались землей очень давно
1885,Между 10:00 и 11:00 вечера по горному времени заключенные устроили пожар во дворе.,"Между 10ю и 11 вечера, по горному времени, заключенные устроили пожар в одворе.",между 10 00 и 11 00 вечера по горному времени заключенные устроили пожар во дворе,между 10ю и 11 вечера по горному времени заключенные устроили пожар в одворе
1729,"Например, ежегодно учащиеся школы Беннет в Северной Каролине создают сайт о своём посещении столицы штата, и каждый год этот сайт обновляется, но доступ к старым версиям по-прежнему сохраняется — они служат памятным альбомом.","Например, ежегодную чащееся школу баннад все в尷尬 на коррине создают сайта с вами посещение столица штата. И каждый год этот сайт опновляется. Но доступ к старым версиям по прежнему сохраняется. Они служат памятным альбомом.",например ежегодно учащиеся школы беннет в северной каролине создают сайт о своем посещении столицы штата и каждый год этот сайт обновляется но доступ к старым версиям по прежнему сохраняется они служат памятным альбомом,например ежегодную чащееся школу баннад все в尷尬 на коррине создают сайта с вами посещение столица штата и каждый год этот сайт опновляется но доступ к старым версиям по прежнему сохраняется они служат памятным альбомом
1663,Долина Кочамо – главное направление в Чили для альпинизма. Она известна как Йосмит Южной Америки и имеет большое количество больших гранитных стен и скал.,"Дарина Качамма, главна направления в челель для альпинизма. Она известно, как ее смет, южной Америки, и имеет большое количество больших границных стен из кал.",долина кочамо главное направление в чили для альпинизма она известна как йосмит южной америки и имеет большое количество больших гранитных стен и скал,дарина качамма главна направления в челель для альпинизма она известно как ее смет южной америки и имеет большое количество больших границных стен из кал
1795,"Начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными, чтобы избиратели и наблюдатели могли убедиться в том, что в начале голосования внутри нет конвертов и что к ним не добавлены какие-либо другие конверты, кроме конвертов тех людей, которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом.","Ночиная с 1888 года, урнодля из бирательных билетений, должно быть прозрачными, чтобы избиратели и наблюдатели могли убилиться в том, что в начале голосования внутри нет конвертов. И что к ним не добавлены какие-либо другие конверты, кроме конвертов всех людей, которых допустили к участию в голосовании, И голоса, которых подсчитали над держащим образом.",начиная с 1988 года урны для избирательных бюллетеней должны быть прозрачными чтобы избиратели и наблюдатели могли убедиться в том что в начале голосования внутри нет конвертов и что к ним не добавлены какие либо другие конверты кроме конвертов тех людей которых допустили к участию в голосовании и голоса которых подсчитали надлежащим образом,ночиная с 1888 года урнодля из бирательных билетений должно быть прозрачными чтобы избиратели и наблюдатели могли убилиться в том что в начале голосования внутри нет конвертов и что к ним не добавлены какие либо другие конверты кроме конвертов всех людей которых допустили к участию в голосовании и голоса которых подсчитали над держащим образом
1943,"Чем ниже напряжение, тем более позитивна присутствующая в вас жизненная сила. Каждому человеку потенциально дано обрести абсолютные покой и чувство удовлетворения.","Чем ниже напряжение, тем более позитивно присутствующая ваше жизни наисила. Каждому человеку потенциально на дно обрести абсолютно и покой и чувство удовлетворения.",чем ниже напряжение тем более позитивна присутствующая в вас жизненная сила каждому человеку потенциально дано обрести абсолютные покой и чувство удовлетворения,чем ниже напряжение тем более позитивно присутствующая ваше жизни наисила каждому человеку потенциально на дно обрести абсолютно и покой и чувство удовлетворения
1836,"Людям с античных времен были известны основные химические элементы, такие как золото, серебро и медь, поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий.","Людям сантичных времен были известны основные химические элементы. Такие как золото серебро иметь, поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий.",людям с античных времен были известны основные химические элементы такие как золото серебро и медь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий,людям сантичных времен были известны основные химические элементы такие как золото серебро иметь поскольку их все можно встретить в природе в чистом виде и относительно легко добывать с помощью примитивных орудий
1776,"За ночь было изготовлено 150–200 копий, теперь известных как ""листовки Данлэпа"".",Зано же было изготовлено 150-200 копий. Теперь известных как листовки дан лопа.,за ночь было изготовлено 150 200 копий теперь известных как листовки данлэпа,зано же было изготовлено 150 200 копий теперь известных как листовки дан лопа
1698,"Все во вселенной состоит из материи. Вся материя состоит из мельчайших частиц, называемых атомами.","Все во Вселенной состоит из материи. Все материи состоит из мельчаших частиц, называемых атомами.",все во вселенной состоит из материи вся материя состоит из мельчайших частиц называемых атомами,все во вселенной состоит из материи все материи состоит из мельчаших частиц называемых атомами
1769,"Великая пирамида была возведена египтянами в третьем веке до нашей эры и является одним из множества больших пирамидальных сооружений, построенных, чтобы почтить память фараона.","Великая пирамента была возвести на эгиптянами в третьей инвеке до нашей эры и является одним из множеств в больших, пираментальных соружений построенных, чтобы почтить память фрауна.",великая пирамида была возведена египтянами в третьем веке до нашей эры и является одним из множества больших пирамидальных сооружений построенных чтобы почтить память фараона,великая пирамента была возвести на эгиптянами в третьей инвеке до нашей эры и является одним из множеств в больших пираментальных соружений построенных чтобы почтить память фрауна
