id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,"Төтенше жағдайларды басқару агенттігінің дереңше, Танкер Лафия Макурди, жоғлы бойындағы жанар жағарма векетінде жарылған.",төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дереңше танкер лафия макурди жоғлы бойындағы жанар жағарма векетінде жарылған
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мұндай норма халық денсаулығы және денсаулық сақты жүйесу туралы кодікстің жаңа редакциясына қарастырылған.,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай норма халық денсаулығы және денсаулық сақты жүйесу туралы кодікстің жаңа редакциясына қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,"Бұл оның соңғы сайсы емес еді, осыдан кейін Мэриком 2014 жылы қайта чемпион атанады.",бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэриком 2014 жылы қайта чемпион атанады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нырсылтан әбіс жылын азарбайыв піздің жерлесіміні.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нырсылтан әбіс жылын азарбайыв піздің жерлесіміні
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бөлмаған жұнбақ болып қалды, ақын керек дейтінде өбір сонша неге зар болдеген».",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бөлмаған жұнбақ болып қалды ақын керек дейтінде өбір сонша неге зар болдеген
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,Бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысыз жоқ.,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысыз жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,Жандардың көудесін лаулатып тұрыпты. Гүлім шоқ бір.,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың көудесін лаулатып тұрыпты гүлім шоқ бір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы Қазақстан журналистер одағының сыйлығын алды.,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйлығын алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Корольдік әкімшілікті орталықтандырады, соттарды өзгертіп заңдардың жаңа кодіксін жасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодіксін жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,"Бірақ қасықтап, қар, шығарғанымен, борап жауып жатса, амал барма, дейті жұмысшылар.",бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауып жатса амал барма дейті жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,Атан солай деп айтты деп мақтанып қалды.,атам солай деп айтты деп мақтанып қалды,атан солай деп айтты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,Қара ертіз ора баққан бұл қалаға әлекен кеше келген орынбордан.,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,қара ертіз ора баққан бұл қалаға әлекен кеше келген орынбордан
5f5af57ab7560,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,"Қазақстан Республикасының сыртқы істер министрлігінің ақпараты бойынша қазыр оңтүстік кариада шамамен 34,180 Альеранда 177 қазақстандық жер.",қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазыр оңтүстік кариада шамамен 34 180 альеранда 177 қазақстандық жер
5f5af596c43c6,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,"Міне, менің алдыға қолған кішкентай да боса мақтаттар мосындай.",міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,міне менің алдыға қолған кішкентай да боса мақтаттар мосындай
