id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,"Төтінше жағдайларды басқару агенттыңдеренше танкер, лафия, мақғурдей жоулы бойындағы жанар жағарма бекетінде жарлың.",төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтінше жағдайларды басқару агенттыңдеренше танкер лафия мақғурдей жоулы бойындағы жанар жағарма бекетінде жарлың
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мүндай норма қалуқ тенсаулықы және тенсаулық сақтой жүйесі туралы көдікстің жағар едақтезіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңі�,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мүндай норма қалуқ тенсаулықы және тенсаулық сақтой жүйесі туралы көдікстің жағар едақтезіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңіңі
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,"Бұл оның сонғы сайсы емес еды, осыдан кейін Мерикум 2014 жылықайта чемпион Аданады.",бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның сонғы сайсы емес еды осыдан кейін мерикум 2014 жылықайта чемпион аданады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нұр-султан әбішілің азарбайф біздін жерлесим әз.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұр султан әбішілің азарбайф біздін жерлесим әз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бұлма ған жүм бақ болып қалды, ақыны керек деетін деңі өвір сонша негезар болды кен.",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бұлма ған жүм бақ болып қалды ақыны керек деетін деңі өвір сонша негезар болды кен
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,Бірінчезенер екінчет армақтар ұлтық басқару холдингтерінін ұлтық холдингтерінін ұлтық кампайнялардым жұмшыларна қатсы жоғы.,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінчезенер екінчет армақтар ұлтық басқару холдингтерінін ұлтық холдингтерінін ұлтық кампайнялардым жұмшыларна қатсы жоғы
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,"Жендердің кьюдесін лаулатық түпті, үңүм шокбір.",жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жендердің кьюдесін лаулатық түпті үңүм шокбір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,"Банғығы жүстұрсанси үзінчіз жылы, қазақстан журналистер одағынам селіғің ауды.",мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,банғығы жүстұрсанси үзінчіз жылы қазақстан журналистер одағынам селіғің ауды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Каролдық әкмшілікті орталқтандырады, соттарды оезгіртіп сандырдың жаңа кодықсын жасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,каролдық әкмшілікті орталқтандырады соттарды оезгіртіп сандырдың жаңа кодықсын жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,"Бірақ, қасықтап, қар, шығарғанымен бұрап шауап тұшетсі амал барма, дееті жұмушылар.",бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен бұрап шауап тұшетсі амал барма дееті жұмушылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,Атан солай дебайты деп мақтанып қалды.,атам солай деп айтты деп мақтанып қалды,атан солай дебайты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,Кара-ертис ора баққан бұл қалаға әлікен кешей келген орым бұрдан.,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,кара ертис ора баққан бұл қалаға әлікен кешей келген орым бұрдан
5f5af57ab7560,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,Казақстан Республикасының қытқы стерминистерлегінің ақпараты бөйінші қазыр 19-карияда шамамен 34-ің Италияда 180-ең алгіранды үжетпіз Казақстандақшыр.,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,казақстан республикасының қытқы стерминистерлегінің ақпараты бөйінші қазыр 19 карияда шамамен 34 ің италияда 180 ең алгіранды үжетпіз казақстандақшыр
5f5af596c43c6,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,Мәні еменің алыңға құыған кішкіндайда бұн са мақтаттар мәсіндай.,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,мәні еменің алыңға құыған кішкіндайда бұн са мақтаттар мәсіндай
5f5af59dbfdf2,осы хал екеумізді жақындастырды ау деймін,Бөсі халы ке өмізді жақындастырды аудеймы.,осы хал екеумізді жақындастырды ау деймін,бөсі халы ке өмізді жақындастырды аудеймы
5f5af5a456617,одан аз болмау керек әйтпесе нарық жұмыс істемейді,Удан аз болма керек әйтпесен арқшымыстымиді.,одан аз болмау керек әйтпесе нарық жұмыс істемейді,удан аз болма керек әйтпесен арқшымыстымиді
5f5af5b0eddaa,осыған байланысты әдебиет порталы әдеби ортаға ортақ сауап тастап аға орта және кіші буынның үш өкілдік пікірін беріп отыр,Уысығам балансты адебет порталы адебе ордаға ордақ сауаптастап аға орда және күші бөуінің үші оқылдық пыкірін бейір вотор.,осыған байланысты әдебиет порталы әдеби ортаға ортақ сауап тастап аға орта және кіші буынның үш өкілдік пікірін беріп отыр,уысығам балансты адебет порталы адебе ордаға ордақ сауаптастап аға орда және күші бөуінің үші оқылдық пыкірін бейір вотор
