id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,АҚШ-тың димнастика федерациясы АҚШ Олимпиада комитетінің ханын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақш тың димнастика федерациясы ақш олимпиада комитетінің ханын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,"Она Вичи француздар билеген, бұл 1940 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаушылар мен бірге жұмыс істеген француздар болды.",оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,она вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісін жасасқан және соғысудың орнына жаулаушылар мен бірге жұмыс істеген француздар болды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,Ешкілер алғаш рет қол үйретілген уақыт Иранның зағроз тауларында шамамен он мың жыл бұрын деп саналады.,ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкілер алғаш рет қол үйретілген уақыт иранның зағроз тауларында шамамен он мың жыл бұрын деп саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,"Сондықтан, бұл пішімнің арақатынаса, ең қарапайым бүдін санның қатынасын алу үшін он екеге бөлі «үшті екі» деп аталады.",сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондықтан бұл пішімнің арақатынаса ең қарапайым бүдін санның қатынасын алу үшін он екеге бөлі үшті екі деп аталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,Ватикан қаласы халықының саны шамамен 8000. Бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең ұаз ел.,ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан қаласы халықының саны шамамен 8000 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең ұаз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,Хьюн қызметтен кетуді сұранды және оны кабинетте «EDVNP» ауыстырады. Норманд Лэмп МП ДВИ босатып жатқан бизнес министрі жұмысын алады деп күтілу де.,хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хьюн қызметтен кетуді сұранды және оны кабинетте edvnp ауыстырады норманд лэмп мп дви босатып жатқан бизнес министрі жұмысын алады деп күтілу де
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер, сіз рамандық тілді білсеңіз, сізге португал тілін үйрені оңайырақ олатынын айтпаяқ қойсады болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін үйрені оңайырақ олатынын айтпаяқ қойсады болады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардық және тауарладың үлкен мөлшерлерін мұхиттарда жылжыудың ең тиімді жолы болып табылады.,тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардық және тауарладың үлкен мөлшерлерін мұхиттарда жылжыудың ең тиімді жолы болып табылады
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тілді білсеңіз, сізге Португал тілін үйрену оңайырақ болатынын айтпаяқ қойса да болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпаяқ қойса да болады
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.",Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде Похотокава ағаштарымен қамтамасыз етілген.,олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похотокава ағаштарымен қамтамасыз етілген
