id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,"Ақыштым дімнастикафидирақсеқсы ақаш алимпиядықамететінң, ханң кулдыайды, және біздым барлық спортсминдерішін, хоршаң аңуртанң каупсидың, артдыруудың, апсалюптықақ жетдің, воңдыайды.",ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақыштым дімнастикафидирақсеқсы ақаш алимпиядықамететінң ханң кулдыайды және біздым барлық спортсминдерішін хоршаң аңуртанң каупсидың артдыруудың апсалюптықақ жетдің воңдыайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,Бұнғың түғың жүлің жүлің жүлің жүлің жүлің француздар білегің. Бүл бірмң түғың жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлі,оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,бұнғың түғың жүлің жүлің жүлің жүлің жүлің француздар білегің бүл бірмң түғың жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлің жүлі
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,"Ешкелер алхашрид, кул и ретелгин вакат, Иранннғ, Заңұростағларнда, Шамамін, Он мұн жел борндип, Саналады.",ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкелер алхашрид кул и ретелгин вакат иранннғ заңұростағларнда шамамін он мұн жел борндип саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,"Сондукдан бұл көшіңлің арақаднаса, ен карапайым бұтінң санның катназым алғушін 12 ебің өлің, үшты егіде баталады.",сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондукдан бұл көшіңлің арақаднаса ен карапайым бұтінң санның катназым алғушін 12 ебің өлің үшты егіде баталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,"Ватикан коласы халканан сана шамамен секжес. Бол дне ежізіндең еңшарым талң сез ел, жані халок сана ең аз ел.",ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан коласы халканан сана шамамен секжес бол дне ежізіндең еңшарым талң сез ел жані халок сана ең аз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,"Хім кізметтен кетудың сүранды, көне она кабінетді еддеви мпі аустрады. Норман ламп мпі деви босаатып жаткан бізнес мінестіры, чумусын алады дипкутлің.",хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хім кізметтен кетудың сүранды көне она кабінетді еддеви мпі аустрады норман ламп мпі деви босаатып жаткан бізнес мінестіры чумусын алады дипкутлің
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер, сіз рамандык тіл дебіл сеніс, сізге, партугал телен, еріны понғыр акулатын айтпайа койса деболады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандык тіл дебіл сеніс сізге партугал телен еріны понғыр акулатын айтпайа койса деболады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,"Тауарларды та сымалдаv өşін кь миллірды, пайдалану өзерші, адымдардың жені тауарлардың өлгін, мүлшірлірің мухікдарда жыл жыл жылдың егін, теймдер жолы болыпда боладын.",тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,тауарларды та сымалдаv өşін кь миллірды пайдалану өзерші адымдардың жені тауарлардың өлгін мүлшірлірің мухікдарда жыл жыл жылдың егін теймдер жолы болыпда боладын
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егірсіз рамандык тәлдебелсіңіз, сізгі, португал телен ирину оң аэрак болатанын айтпайа койсада болада.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егірсіз рамандык тәлдебелсіңіз сізгі португал телен ирину оң аэрак болатанын айтпайа койсада болада
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.","Улар, каобсіз жәзюге арна овам, хомді жақажай лардің барлыңа дерлік, және улардің көпшіліңді, бо хуто кава афаща тармін кантамасыз етіліген.",олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,улар каобсіз жәзюге арна овам хомді жақажай лардің барлыңа дерлік және улардің көпшіліңді бо хуто кава афаща тармін кантамасыз етіліген
