id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,Төтенше жағдайларды басқару агенттігінің дерейінше танкер Лафиам Макурти жоғлы бойындағы жанар жағарма бекекенде жарылған.,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дерейінше танкер лафиам макурти жоғлы бойындағы жанар жағарма бекекенде жарылған
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мұндай норма халық денсаулығы және денсаулық сақтыу жүйесу туралы кодікстің жаңа редакциясына қарастырылған.,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай норма халық денсаулығы және денсаулық сақтыу жүйесу туралы кодікстің жаңа редакциясына қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,Бұл оның соңғы сайсы емесе ді осыдан кейін Мэрикум 2014 жылықайта чемпион атанады.,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емесе ді осыдан кейін мэрикум 2014 жылықайта чемпион атанады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нұрсылтан әбіс жылын азарбайв біздің жерлесіміз.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұрсылтан әбіс жылын азарбайв біздің жерлесіміз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бұл маған жұнбақ болып қалды, ақын керек дейтінде өбір сонжа негез ар бол деген.",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бұл маған жұнбақ болып қалды ақын керек дейтінде өбір сонжа негез ар бол деген
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,"Бірінші және екінші тармақтар ұлттық басқа рух, холдингтерінің ұлттық холдингтері мен ұлттық компаниялардың жұмшыларына қатысыз жоқ.",бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқа рух холдингтерінің ұлттық холдингтері мен ұлттық компаниялардың жұмшыларына қатысыз жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,Жандардың күудесін лаулатып тұрыпты. Гүлім шоқ бір.,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың күудесін лаулатып тұрыпты гүлім шоқ бір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйлығын алды.,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйлығын алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Корольдік әкімшілікті орталықтандырады, соттарды өзгертіп заңдардың жаңа кодіксін жасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодіксін жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,"Бірақ қасықтап, қар, шығарғаны мен борап жауып жатса амал барма», – дейті жұмысшылар.",бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғаны мен борап жауып жатса амал барма дейті жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,Атан солай деп айтты деп мақтанып қалды.,атам солай деп айтты деп мақтанып қалды,атан солай деп айтты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,Қара ертес ора баққан бұл қалаға әлекен кеше келген орынбордан.,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,қара ертес ора баққан бұл қалаға әлекен кеше келген орынбордан
5f5af57ab7560,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,Қазақстан Республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кариеді шамамен 34-тың Италияда 180-е алгеранда 17-піс қазақстандық жүр.,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кариеді шамамен 34 тың италияда 180 е алгеранда 17 піс қазақстандық жүр
5f5af596c43c6,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,"Міне, менің алдыға алдыға қойған кішкентай да боса мақтаттар мұсындай.",міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,міне менің алдыға алдыға қойған кішкентай да боса мақтаттар мұсындай
5f5af59dbfdf2,осы хал екеумізді жақындастырды ау деймін,Осы халы кеуімізді жақындастырды аудеймі.,осы хал екеумізді жақындастырды ау деймін,осы халы кеуімізді жақындастырды аудеймі
5f5af5a456617,одан аз болмау керек әйтпесе нарық жұмыс істемейді,Одан аз болма керек әйтпесен арқышымы істемейді.,одан аз болмау керек әйтпесе нарық жұмыс істемейді,одан аз болма керек әйтпесен арқышымы істемейді
