id,ref,hyp,ref_norm,hyp_norm
1904,"However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.","However, due to the slow communication channels, styles in the West could lag behind by 25 to 30 years.",however due to the slow communication channels styles in the west could lag behind by 25 to 30 year,however due to the slow communication channels styles in the west could lag behind by 25 to 30 years
1675,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.","All nows alongside the world's safe for you always begin with a capital letter, even in the middle of a sentence.",all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence,all nows alongside the world s safe for you always begin with a capital letter even in the middle of a sentence
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,"To the north, and within easy reach, is a romantic and fascinating town of Cintra, and which was made famous, to foreigners after a glowing account of its splendor is recorded by Lord Byron.",to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron,to the north and within easy reach is a romantic and fascinating town of cintra and which was made famous to foreigners after a glowing account of its splendor is recorded by lord byron
1728,The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,"The cabbage juice changes color depending on how aesthetic, basic alkaline the chemical is.",the cabbage juice changes color depending on how acidic or basic alkaline the chemical is,the cabbage juice changes color depending on how aesthetic basic alkaline the chemical is
1972,Many people don't think about them as dinosaurs because they have feathers and can fly.,Many people don't think about them as dinosaurs because they have feathers and can fly.,many people don t think about them as dinosaurs because they have feathers and can fly,many people don t think about them as dinosaurs because they have feathers and can fly
1938,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.","The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others,the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others
1876,The Northern Marianas emergency management office said that there were no damages reported in the nation.,The Northern Marianas Emergency Management Office said that there were no damages reported in the nation.,the northern marianas emergency management office said that there were no damages reported in the nation,the northern marianas emergency management office said that there were no damages reported in the nation
1914,Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.,"20th century research has shown that there are two pools of genetic variation, hidden and expressed.",twentieth century research has shown that there are two pools of genetic variation hidden and expressed,20th century research has shown that there are two pools of genetic variation hidden and expressed
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,"The aspect ratio of this format, dividing by 12 to obtain the simplest whole number ratio, is therefore said to be 3 to 2.",the aspect ratio of this format dividing by twelve to obtain the simplest whole number ratio is therefore said to be 3 2,the aspect ratio of this format dividing by 12 to obtain the simplest whole number ratio is therefore said to be 3 to 2
1806,"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.","As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.",as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times,as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",The night between 150 and 200 copies were made now known as the inlap broadsides.,through the night between 150 and 200 copies were made now known as dunlap broadsides,the night between 150 and 200 copies were made now known as the inlap broadsides
