id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,"Төтенше жағдайларды басқару агенттігінің дереңше, Танкер Лафиамо Курди жоғлы бойындағы жанар жағармай бекетінде жарлың.",төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дереңше танкер лафиамо курди жоғлы бойындағы жанар жағармай бекетінде жарлың
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мұндай нормы халық денсаулығы және денсаулық сақты жүйесі туралы Кодекстің жаңа редакциясына қарастырылған.,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай нормы халық денсаулығы және денсаулық сақты жүйесі туралы кодекстің жаңа редакциясына қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,"Бұл оның соңғы сайсы емес еді, осыдан кейін Мэриком 2014 жылы қайта чемпион атанады.",бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэриком 2014 жылы қайта чемпион атанады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нұрсылтан әбіс жылы назарбайф біздің жерлесіміз.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұрсылтан әбіс жылы назарбайф біздің жерлесіміз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бұл маған жұн бақ болып қалды, ақын керек дейтінде өвір сонша негез арып ол деген.",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бұл маған жұн бақ болып қалды ақын керек дейтінде өвір сонша негез арып ол деген
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,"Бірінші және екінші тармақтар ұлттық басқару, «холдинг»терінің ұлттық холдингтерімен ұлттық компаниялардың жұмысшыларына қатысы жоқ.",бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдинг терінің ұлттық холдингтерімен ұлттық компаниялардың жұмысшыларына қатысы жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,Жандардың күйудесін лаулатып тұрыпты. Гүлім шоқтып бір.,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың күйудесін лаулатып тұрыпты гүлім шоқтып бір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйылығын алды.,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйылығын алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Корольдік әкімшілікті орталықтандырады, соттарды өзгертіп, заңдардың жаңа кодіксін жасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодіксін жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,Бірақ қасықтап қар шығарғанымен «борап жауып тұжатса амал барма» дейті жұмысшылар.,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауып тұжатса амал барма дейті жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,Атан солай деп айтты деп мақтанып қалды.,атам солай деп айтты деп мақтанып қалды,атан солай деп айтты деп мақтанып қалды
