id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.","В древнем Китай использовали уникальный способ обозначения периодов времени. Каждый этап Китая или каждая семья, находивши сеу власти, были особые династии.",в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китай использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находивши сеу власти были особые династии
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.","Мадагаскары на много больше дыругих и являются самобытным континентом, в том, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,мадагаскары на много больше дыругих и являются самобытным континентом в том что касается дикой природы
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.",Во всех научынных вопросах вглючай психология были приняты взгляды ростотелі.,во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научынных вопросах вглючай психология были приняты взгляды ростотелі
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.","Бразличных местах Рима были устанавливаны большие телевизионные экраны, из помощь которых люди могли наблюдай за церемонии.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,бразличных местах рима были устанавливаны большие телевизионные экраны из помощь которых люди могли наблюдай за церемонии
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".","Причиней дебата в сталле разна гласия отнасительна затратына, оказания материалной поддержки и восстановления здания после ураганна катрина, к которой некоторые фискальные консерваторы в шутку називали наварлианской «озделкой буша».",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиней дебата в сталле разна гласия отнасительна затратына оказания материалной поддержки и восстановления здания после ураганна катрина к которой некоторые фискальные консерваторы в шутку називали наварлианской озделкой буша
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.","В 1990-х он был добавлен в список всемерного наследия, находящегося подуроза из-за опасности состарыны песков пустыне.",в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1990 х он был добавлен в список всемерного наследия находящегося подуроза из за опасности состарыны песков пустыне
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",«Сокласноядерному управлению Япония на заводе булябнаружы на радиоактивной цизи июд».,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,сокласноядерному управлению япония на заводе булябнаружы на радиоактивной цизи июд
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).","Надлежаше использования блогов может дать утяшимся возможность стать более аналитичными и критичными, путем активного отклика на интернет-материалы утяшемся могут определять свою позицию в контексте чужих работ, а также излогарь с собой собственные взгляды на конкретные вопросы. Аравек – 2002.",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,надлежаше использования блогов может дать утяшимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы утяшемся могут определять свою позицию в контексте чужих работ а также излогарь с собой собственные взгляды на конкретные вопросы аравек 2002
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Тулька мутаций в клетках зарудышевой линии мгут передаласы дали дедям, в то время как мутация где ты еще мгут привести гибли клеток или раку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,тулька мутаций в клетках зарудышевой линии мгут передаласы дали дедям в то время как мутация где ты еще мгут привести гибли клеток или раку
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.","Не аскверняте та меса, днася иллюбл церапы о граффите на объекты вокруг.",не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не аскверняте та меса днася иллюбл церапы о граффите на объекты вокруг
1903,"Когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации, то могут проявиться креативность и изобретательность.","Когда все доступные ресурсы эффективно используются во всех функционалях подразделениях организаций, то могут появиться креативность и изобретательность.",когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступные ресурсы эффективно используются во всех функционалях подразделениях организаций то могут появиться креативность и изобретательность
1725,"Серия ASUS Eee PC, ранее представленная во всём мире с ориентацией на такие факторы, как экономия средств и функциональность, стала горячей темой во время месяца информационных технологий в Тайбэе в 2007 году.","Сирия ASUS ePC ранее представленная во всём мире с ориентацией на такие факторы как экономия срез и функциональность, стала горячей темой во время месяца информационных технологий в Тайбе в 2007 году.",серия asus eee pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,сирия asus epc ранее представленная во всем мире с ориентацией на такие факторы как экономия срез и функциональность стала горячей темой во время месяца информационных технологий в тайбе в 2007 году
1762,"Переносчиками являются свиньи, от которых через комаров болезнь затем передаётся человеку.","Переношки мею влядсы свини, откоторых жероскомыров болезь затем предаяцзачаловеку.",переносчиками являются свиньи от которых через комаров болезнь затем передается человеку,переношки мею влядсы свини откоторых жероскомыров болезь затем предаяцзачаловеку
1668,"Также может быть выгодно купить Wild Card, которая позволяет посещать национальные парки ЮАР либо выборочно, либо все.","Так же мужчитбе тубыгадан купить вилткарт, которые позволяют пассечет национальные парки ОАр, Лебовыбруши, Лебовсе.",также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,так же мужчитбе тубыгадан купить вилткарт которые позволяют пассечет национальные парки оар лебовыбруши лебовсе
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Только мутаций в клетках зарод дышевай, линии могут передаваться дали детям. В то время, к мутацияге еще могут привести кибли клеток или раку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутаций в клетках зарод дышевай линии могут передаваться дали детям в то время к мутацияге еще могут привести кибли клеток или раку
1780,"Энергия кундалини (энергия просветления) в кундалини-йоге пробуждается через позы йоги, дыхательные упражнения, мантры и визуализации.","Энергия Кундалини — энергия просветлення. Кундалини Йоги бурбуждайся через пози Йоги, дыхательные упражнения, мантры и визуализации.",энергия кундалини энергия просветления в кундалини йоге пробуждается через позы йоги дыхательные упражнения мантры и визуализации,энергия кундалини энергия просветлення кундалини йоги бурбуждайся через пози йоги дыхательные упражнения мантры и визуализации
1822,"Султан Марокко перестроил город под названием Эд-Дар-эль-Бейда, а испанские торговцы, создавшие тут торговые базы, назвали его Касабланка.","Султан Морокко Перестроил город под названием Эддар Эльбейда. Испански тарговцы, садапши туд тарговой базы, назвали его Касабланка.",султан марокко перестроил город под названием эд дар эль бейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,султан морокко перестроил город под названием эддар эльбейда испански тарговцы садапши туд тарговой базы назвали его касабланка
1763,"Так же, как Луна притягивает Землю, при этом вызывая приливы, так и Млечный Путь воздействует на галактику в Стрельце.","Так же как Луна притягивать землю, при этом вызывай преливы так имелечить путь воздействовать на галактику стрельцы.",так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику в стрельце,так же как луна притягивать землю при этом вызывай преливы так имелечить путь воздействовать на галактику стрельцы
1884,"В частности, утверждается, что можно определить, лжет ли человек, при помощи правильной интерпретации его микровыражений.","В частности, у твёржы дайсы, что можно определить лжот ли человек при помощи правильной интерпретаций его микроворажений.",в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,в частности у твержы дайсы что можно определить лжот ли человек при помощи правильной интерпретаций его микроворажений
1722,53-летний Куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце.,"Питисти трехлетни Кома начал свою дейтленность на постугу губернаторы, начале этого года, и подписал за кана проект лигализация наполных браков прошлым месяц.",53 летний куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,питисти трехлетни кома начал свою дейтленность на постугу губернаторы начале этого года и подписал за кана проект лигализация наполных браков прошлым месяц
1768,"Большинство зданий по краям комплекса было перестроено, чтобы дать туристам более точное представление о том, как они выглядели изначально.","Большинство здания по краям комплекса было перестроен, чтобы дать туристам более точное представление о том, как они выгодили изначально.",большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,большинство здания по краям комплекса было перестроен чтобы дать туристам более точное представление о том как они выгодили изначально
1891,Лаккха Сингх исполнил чхаппан бхог бхаджан.  Певец Раджу Кханделвал пел вместе с ним.,Лаксинг исполнил Чхаппан Пхопхаджан Бвиацраджо Ханделвал Пелместерстим.,лаккха сингх исполнил чхаппан бхог бхаджан певец раджу кханделвал пел вместе с ним,лаксинг исполнил чхаппан пхопхаджан бвиацраджо ханделвал пелместерстим
1962,Показатель pH определяется степенью насыщенности ионами водорода (H в pH) исследуемого химического соединения.,Показатель pH определяется степень ненасыщенности ионами водорода HVPH и следуемого химическое усыединение.,показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,показатель ph определяется степень ненасыщенности ионами водорода hvph и следуемого химическое усыединение
1861,"В результате актёры курят косяки с марихуаной на сцене, и сам театр поощряет публику присоединиться.",В результате актера корид Косекис Марихуанына Сене и сантеатр пасширяйт публику присоединица.,в результате актеры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,в результате актера корид косекис марихуанына сене и сантеатр пасширяйт публику присоединица
1715,"Обычные объявления в метро делаются только на каталонском языке, но незапланированные перебои объявляются автоматизированной системой на самых разных языках, включая испанский, английский, французский, арабский и японский.","Убычные объявления в метро делывцы только на каталонска мезоге, но незапланированные перебой объявляются автоматизированной системой на самых разных языках, включая испанский, англинский, французский, арабский и японский.",обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,убычные объявления в метро делывцы только на каталонска мезоге но незапланированные перебой объявляются автоматизированной системой на самых разных языках включая испанский англинский французский арабский и японский
