id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,"Ақыштың димнастика федерациясы Ақыш Олимпияда Комитетінін қағын қолдайды, және біздің барлық спартсмен дерішін, қоршаған үртаның қаупсыдың, арттырудың әпсалудды қажеттілігін қойындайды.",ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,ақыштың димнастика федерациясы ақыш олимпияда комитетінін қағын қолдайды және біздің барлық спартсмен дерішін қоршаған үртаның қаупсыдың арттырудың әпсалудды қажеттілігін қойындайды
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,"Оны вичі француздар белеген, бол бірмін тұғыжыс қырыңышы жалы, немістермен бейбыт келесін жасыскан, және сауғы судын орнына жаулау сұларменбірге жүмасыстеген француздар болды.",оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,оны вичі француздар белеген бол бірмін тұғыжыс қырыңышы жалы немістермен бейбыт келесін жасыскан және сауғы судын орнына жаулау сұларменбірге жүмасыстеген француздар болды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,Ешкелер алғашрет қол и ретелген вақыт Ираның зағроз тауларында Шамамен он мүң жылбұрындеп саналады.,ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкелер алғашрет қол и ретелген вақыт ираның зағроз тауларында шамамен он мүң жылбұрындеп саналады
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,"Сондықтан болпшымның арақаднаса, ең карапайым бүтін санының картнасыны алыңың үнікеге бөлю, үшті үйекі деп аталады.",сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондықтан болпшымның арақаднаса ең карапайым бүтін санының картнасыны алыңың үнікеге бөлю үшті үйекі деп аталады
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,"Ватикан-қаласы халқының саны шамамен сегі жөз. Бұл дүне жізіндегі ең шағым тавелсіз ел, және халық саны ең аз ел.",ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан қаласы халқының саны шамамен сегі жөз бұл дүне жізіндегі ең шағым тавелсіз ел және халық саны ең аз ел
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,"Хьюн қізметтен ке түдің сүранды, кәне оны кабинетті әддевеймпи австрада, норман лэмп, әмпи, девей босаатып чаткан бизнес министері жүмусың алады деп күтіліуді.",хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хьюн қізметтен ке түдің сүранды кәне оны кабинетті әддевеймпи австрада норман лэмп әмпи девей босаатып чаткан бизнес министері жүмусың алады деп күтіліуді
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер, сіз рамандық тілді біл сенес, сізге Португауталын үрені үрак болатынын айтпаяқ койсады болады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тілді біл сенес сізге португауталын үрені үрак болатынын айтпаяқ койсады болады
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,"Таварларды тасымалдауышын, ки милерді пайдаланың әзірші адамдардың женеі таварлардың үлкен мүлшірлерін мохиттарда жылжы тудың еген теймді жолы болып табылады.",тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,таварларды тасымалдауышын ки милерді пайдаланың әзірші адамдардың женеі таварлардың үлкен мүлшірлерін мохиттарда жылжы тудың еген теймді жолы болып табылады
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Егер сіз рамандық тәлді білсеніз, сізге Португалтален ирені оң айрак болатынын айтпаяқ койсада болаты.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,егер сіз рамандық тәлді білсеніз сізге португалтален ирені оң айрак болатынын айтпаяқ койсада болаты
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.","Улар, қаупсіз жізюге арналын, қомды жақажайлардың барлығына дерілык, және улардың қопшылығынды, бақу тұқауа ақаштарымен қамтамасыз етіліген.",олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,улар қаупсіз жізюге арналын қомды жақажайлардың барлығына дерілык және улардың қопшылығынды бақу тұқауа ақаштарымен қамтамасыз етіліген
