id,ref,hyp,ref_norm,hyp_norm
1788,АҚШ-тың Гимнастика федерациясы АҚШ Олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды.,Акışтым дімнастик афидер әзесы ақаш алимпи әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд,ақш тың гимнастика федерациясы ақш олимпиада комитетінің хатын қолдайды және біздің барлық спортсмендер үшін қоршаған ортаның қауіпсіздігін арттырудың абсолютті қажеттілігін мойындайды,акışтым дімнастик афидер әзесы ақаш алимпи әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд әд
1749,Оны «вичи» француздар билеген. Бұл 1940 жылы немістермен бейбіт келісім жасасқан және  соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды.,"Оны, вічі, франсусдар белеги, Болы, Берментуғыжы с караваншы жалы, Німістермен бибет келесім жесесқан. Жені, согу судым ғурнаны, жаллал сларменберги жемасыстегиен франсусдарғыды.",оны вичи француздар билеген бұл 1940 жылы немістермен бейбіт келісім жасасқан және соғысудың орнына жаулаушылармен бірге жұмыс істеген француздар болды,оны вічі франсусдар белеги болы берментуғыжы с караваншы жалы німістермен бибет келесім жесесқан жені согу судым ғурнаны жаллал сларменберги жемасыстегиен франсусдарғыды
1701,Ешкілер алғаш рет қол үйретілген уақыт Иранның Загрос тауларында шамамен 10 000 жыл бұрын деп саналады.,Ешкелер алқашрит ғл өрит өрит өрген ғықы өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт,ешкілер алғаш рет қол үйретілген уақыт иранның загрос тауларында шамамен 10 000 жыл бұрын деп саналады,ешкелер алқашрит ғл өрит өрит өрген ғықы өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт өқыт
1846,Сондықтан бұл пішімнің арақатынасы (ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу) 3:2 деп айтылады.,Сондыхтан бұл бшімң үн үрқарқ үнас үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн,сондықтан бұл пішімнің арақатынасы ең қарапайым бүтін санның қатынасын алу үшін он екіге бөлу 3 2 деп айтылады,сондыхтан бұл бшімң үн үрқарқ үнас үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн үн
1975,Ватикан қаласы халқының саны — шамамен 800. Бұл — дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел.,Ватикан каласы халтаннұн сана шамамен си кіжес. Болд дній жізнебы ең шамамт аыльсіз ер. Жені халок сана ен аыз ер.,ватикан қаласы халқының саны шамамен 800 бұл дүние жүзіндегі ең шағын тәуелсіз ел және халық саны ең аз ел,ватикан каласы халтаннұн сана шамамен си кіжес болд дній жізнебы ең шамамт аыльсіз ер жені халок сана ен аыз ер
1708,Хьюн қызметтен кетуді сұранды және оны кабинетте Эд Дэви МП ауыстырады. Норман Лэмб МП Дэви босатып жатқан Бизнес министрі жұмысын алады деп күтілуде.,"Хюм кізметен кетюды сғанда, ғен еуонакабенет өддеві өмпі аустрады. Норман лэмп өмпі өддеві босады бчадкан бізнес министер ғмусен алады деп кутлюре.",хьюн қызметтен кетуді сұранды және оны кабинетте эд дэви мп ауыстырады норман лэмб мп дэви босатып жатқан бизнес министрі жұмысын алады деп күтілуде,хюм кізметен кетюды сғанда ғен еуонакабенет өддеві өмпі аустрады норман лэмп өмпі өддеві босады бчадкан бізнес министер ғмусен алады деп кутлюре
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.",Еңер сіз раман дактел дабыр сенез. Сізге португалтелен үрену пүл өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр ө,егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,еңер сіз раман дактел дабыр сенез сізге португалтелен үрену пүл өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр өр ө
1956,Тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады.,Тауарларда тасым алдағыңы үн ки милерд өпайдалану өзер өзер өземдар үн өзер өземдар үн өзер өземдар үн өзер өземдар үн өзер өзер өземдар үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн,тауарларды тасымалдау үшін кемелерді пайдалану әзірше адамдардың және тауарлардың үлкен мөлшерлерін мұхиттарда жылжытудың ең тиімді жолы болып табылады,тауарларда тасым алдағыңы үн ки милерд өпайдалану өзер өзер өземдар үн өзер өземдар үн өзер өземдар үн өзер өземдар үн өзер өзер өземдар үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн өзер үн
1994,"Егер сіз романдық тілді білсеңіз, сізге португал тілін үйрену оңайырақ болатынын айтпай-ақ қойса да болады.","Еңерсис раманда ктельдабельсингыс сізге партугалтелен и рину улыра к булатнам, айтпайа койсада булады.",егер сіз романдық тілді білсеңіз сізге португал тілін үйрену оңайырақ болатынын айтпай ақ қойса да болады,еңерсис раманда ктельдабельсингыс сізге партугалтелен и рину улыра к булатнам айтпайа койсада булады
1965,"Олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік, және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген.",Калбсу жізюү үрүр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр ү,олар қауіпсіз жүзуге арналған құмды жағажайлардың барлығына дерлік және олардың көпшілігінде похутукава ағаштарымен қамтамасыз етілген,калбсу жізюү үрүр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр үр ү
