id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.","В Древнем Китай использовали уникальный способ обозначения передов в времени. Каждый этап Китая или каждая семья, находившиеся у власти, были особые династией.",в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китай использовали уникальный способ обозначения передов в времени каждый этап китая или каждая семья находившиеся у власти были особые династией
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.","Модогаскар на много больше других и является самобытным континентом в том, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,модогаскар на много больше других и является самобытным континентом в том что касается дикой природы
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.","Во всех научных вопросах, включая психологию, были приняты взгляды арестов тела.",во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды арестов тела
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.","В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".","Причиной дебатов стали разногласия относительно затрат на оказания материальные поддержки и восстановления зданий после ураганок Атрина, которые некоторые фискальные консерваторы в шутку назвали «новарлеанское сделкой буша».",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиной дебатов стали разногласия относительно затрат на оказания материальные поддержки и восстановления зданий после ураганок атрина которые некоторые фискальные консерваторы в шутку назвали новарлеанское сделкой буша
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.","В 1990 году он был добавлен в список всемерного наследия, находящегося под угроза из опасности со стороны песков пустыни.",в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1990 году он был добавлен в список всемерного наследия находящегося под угроза из опасности со стороны песков пустыни
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",Согласно ядерному управлению Японии на заводе были обнаружены радиоактивные цези ИЁ.,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,согласно ядерному управлению японии на заводе были обнаружены радиоактивные цези ие
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).","Надлежащие использования блогов может дать учащимся возможность стать более аналитичными и критичными. Путем активного отклика на интернет материалы, учащиеся могут определять свою позицию в контексте чужих работ, а также излогать свои собственные взгляды на конкретные вопросы.",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,надлежащие использования блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излогать свои собственные взгляды на конкретные вопросы
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Только мутаций в клетках зародышевой линии могут передаваться далее детям, в то время как мутация где-то еще могут привести гибли клеток или раку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутаций в клетках зародышевой линии могут передаваться далее детям в то время как мутация где то еще могут привести гибли клеток или раку
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.","Не оскверняйте это место, нася или в царапы о граффите на объекты вокруг.",не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место нася или в царапы о граффите на объекты вокруг
