id,ref,hyp,ref_norm,hyp_norm
1904,"However, due to the slow communication channels, styles in the west could lag behind by 25 to 30 year.","However, due to the slow communication channels, styles in the West could lag behind by 25 to 30 years.",however due to the slow communication channels styles in the west could lag behind by 25 to 30 year,however due to the slow communication channels styles in the west could lag behind by 25 to 30 years
1675,"All nouns, alongside the word Sie for you, always begin with a capital letter, even in the middle of a sentence.",All nouns alongside the world's say for you always begin with a capital letter even in the middle of a sentence.,all nouns alongside the word sie for you always begin with a capital letter even in the middle of a sentence,all nouns alongside the world s say for you always begin with a capital letter even in the middle of a sentence
1950,To the north and within easy reach is the romantic and fascinating town of Sintra and which was made famous to foreigners after a glowing account of its splendours recorded by Lord Byron.,To the north and within easy reach is a romantic and fascinating town of Cintra and which was made famous to foreigners after a glowing account of its splendor is recorded by Lord Byron.,to the north and within easy reach is the romantic and fascinating town of sintra and which was made famous to foreigners after a glowing account of its splendours recorded by lord byron,to the north and within easy reach is a romantic and fascinating town of cintra and which was made famous to foreigners after a glowing account of its splendor is recorded by lord byron
1728,The cabbage juice changes color depending on how acidic or basic (alkaline) the chemical is.,"The cabbage juice changes color depending on how acidic, basic alkaline the chemical is.",the cabbage juice changes color depending on how acidic or basic alkaline the chemical is,the cabbage juice changes color depending on how acidic basic alkaline the chemical is
1972,Many people don't think about them as dinosaurs because they have feathers and can fly.,Many people don't think about them as dinosaurs because they have feathers and can fly.,many people don t think about them as dinosaurs because they have feathers and can fly,many people don t think about them as dinosaurs because they have feathers and can fly
1938,"The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.","The hospital has followed protocol for infection control, including separating the patient from others to prevent possible infection of others.",the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others,the hospital has followed protocol for infection control including separating the patient from others to prevent possible infection of others
1876,The Northern Marianas emergency management office said that there were no damages reported in the nation.,The Northern Mariana's Emergency Management Office said that there were no damages reported in the nation.,the northern marianas emergency management office said that there were no damages reported in the nation,the northern mariana s emergency management office said that there were no damages reported in the nation
1914,Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed.,20th century research has shown that there are two pools of genetic variation hidden and expressed.,twentieth century research has shown that there are two pools of genetic variation hidden and expressed,20th century research has shown that there are two pools of genetic variation hidden and expressed
1846,The aspect ratio of this format (dividing by twelve to obtain the simplest whole-number ratio) is therefore said to be 3:2.,"The aspect ratio of this format, dividing by 12 to obtain the simplest whole number ratio is therefore said to be free to two.",the aspect ratio of this format dividing by twelve to obtain the simplest whole number ratio is therefore said to be 3 2,the aspect ratio of this format dividing by 12 to obtain the simplest whole number ratio is therefore said to be free to two
1806,"As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.","As light pollution in their heyday was not the kind of problem it is today, they are usually located in cities or at campuses, easier to reach than those built in modern times.",as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times,as light pollution in their heyday was not the kind of problem it is today they are usually located in cities or at campuses easier to reach than those built in modern times
1776,"Through the night between 150 and 200 copies were made, now known as ""Dunlap broadsides"".",For the night between 150 and 200 copies were made now known as the Inlap Broad Sides.,through the night between 150 and 200 copies were made now known as dunlap broadsides,for the night between 150 and 200 copies were made now known as the inlap broad sides
1729,"For example, each year students from Bennet School in North Carolina design a website about their trip to the State Capital, each year the website gets remodeled, but old versions are kept online to serve as a scrapbook.","For example, each year students from Bennett School in North Carolina design a website about their trip to the state capitol. Each year the website gets remodeled, but old versions are kept online to service a scrapbook.",for example each year students from bennet school in north carolina design a website about their trip to the state capital each year the website gets remodeled but old versions are kept online to serve as a scrapbook,for example each year students from bennett school in north carolina design a website about their trip to the state capitol each year the website gets remodeled but old versions are kept online to service a scrapbook
1855,"Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions (but not other big cats) in behavior, and also very deadly to their prey.","Lion prides act much like packs of wolves or dogs, animals surprisingly similar to lions, but not other big cats in behavior, and also very deadly to their prey.",lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey,lion prides act much like packs of wolves or dogs animals surprisingly similar to lions but not other big cats in behavior and also very deadly to their prey
1919,The city is also the base to climb the Nyiragongo volcano along with some of the cheapest Mountain Gorilla tracking in Africa.,The city is also the base to climb the Nairai Gango volcano along with some of the cheapest mountain gorilla trafficking in Africa.,the city is also the base to climb the nyiragongo volcano along with some of the cheapest mountain gorilla tracking in africa,the city is also the base to climb the nairai gango volcano along with some of the cheapest mountain gorilla trafficking in africa
1802,The Internet combines elements of both mass and interpersonal communication.,The internet combines elements of both mass and interpersonal communication.,the internet combines elements of both mass and interpersonal communication,the internet combines elements of both mass and interpersonal communication
1711,These theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,These things look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things.,these theories look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things,these things look at what it is about certain people that make them want the things that they do and what things in their environment will make them do or not do certain things
1685,"For example, the most common still image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.","For example, the most common still-image photography format in the world is 35mm, which was the dominant film size at the close of the analog film era.",for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era,for example the most common still image photography format in the world is 35mm which was the dominant film size at the close of the analog film era
1992,"The term safari in popular use refers to overland travel to view the stunning African wildlife, particularly on savanna.",The term safari in popular loose refers to overland travel to view the stunning African wildlife particularly on Savannah.,the term safari in popular use refers to overland travel to view the stunning african wildlife particularly on savanna,the term safari in popular loose refers to overland travel to view the stunning african wildlife particularly on savannah
2005,But there are a lot of things about birds that still look like a dinosaur.,But there are a lot of things about birds that still look like a dinosaur.,but there are a lot of things about birds that still look like a dinosaur,but there are a lot of things about birds that still look like a dinosaur
1982,"Women: It is recommended that any women travellers say that they are married, regardless of actual marital status.",Women is recommended that any women travelers say that they are married regardless of actual marital status.,women it is recommended that any women travellers say that they are married regardless of actual marital status,women is recommended that any women travelers say that they are married regardless of actual marital status
1674,"In some areas boiling water for a minute is enough, in others several minutes are needed.","In some areas, boiling water for a minute is enough and other several minutes are needed.",in some areas boiling water for a minute is enough in others several minutes are needed,in some areas boiling water for a minute is enough and other several minutes are needed
1952,"Anyone who's going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.","Anyone who is going to drive at hot latitudes or over, Mountain Passes should consider the possibility of snow, ice, or freezing temperatures.",anyone who s going to drive at high latitudes or over mountain passes should consider the possibility of snow ice or freezing temperatures,anyone who is going to drive at hot latitudes or over mountain passes should consider the possibility of snow ice or freezing temperatures
