id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясында қарастырылған,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясында қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он түрінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он түрінші жылы қайта чемпион атанады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,"Нұрсұлтан Abishoúla Nazarbá'á'f, bizðiң жерlesіміз.",нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұрсұлтан abishoúla nazarbá á f bizðiң жерlesіміз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,болмаған жұмбақ болып қалды ақын керектейтіндей өмір сонша неге зар болды екен,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,болмаған жұмбақ болып қалды ақын керектейтіндей өмір сонша неге зар болды екен
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтері мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтері мен ұлттық компаниялардың жұмысшыларына қатысы жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың күйеудесін лаулатып тұрыпты гүлім шоқтыр,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың күйеудесін лаулатып тұрыпты гүлім шоқтыр
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауап жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауап жатса амал бар ма дейді жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,"Атам солай деп айтты, деп мақтанып қалды.",атам солай деп айтты деп мақтанып қалды,атам солай деп айтты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,орынбордан қара ертіс орап аққан бұл қалаға әлікен кеше келген орынбордан,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,орынбордан қара ертіс орап аққан бұл қалаға әлікен кеше келген орынбордан
5f5af57ab7560,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз түртінің италияда жүз сексен ал иранда жүз жетпіз қазақстандық жер,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз түртінің италияда жүз сексен ал иранда жүз жетпіз қазақстандық жер
5f5af596c43c6,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай
