id,ref,hyp,ref_norm,hyp_norm
5f5af4cf7bb2c,төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,"Төтенше жағдайларды басқару агенттігінің дереңше, Танкер Лафиамо Курди жоғлы бойындағы жанар жағарма векетінде жарлыған.",төтенше жағдайларды басқару агенттігінің дерегінше танкер лафия макурди жолы бойындағы жанар жағармай бекетінде жарылған,төтенше жағдайларды басқару агенттігінің дереңше танкер лафиамо курди жоғлы бойындағы жанар жағарма векетінде жарлыған
5f5af4dc52b1f,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,Мұндай норма — халық денсаулықы және денсаулық сақты жүйесі туралы Кодекстің жаңа редакциясына қарастырылған.,мұндай норма халық денсаулығы және денсаулық сақтау жүйесі туралы кодекстің жаңа редакциясына қарастырылған,мұндай норма халық денсаулықы және денсаулық сақты жүйесі туралы кодекстің жаңа редакциясына қарастырылған
5f5af4f705da7,бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,"Бұл оның соңғы сайсы емес еді, осыдан кейін Мэриком 2014 жылы қайта чемпион атанады.",бұл оның соңғы сайсы емес еді осыдан кейін мэри ком екі мың он төртінші жылы қайта чемпион атанады,бұл оның соңғы сайсы емес еді осыдан кейін мэриком 2014 жылы қайта чемпион атанады
5f5af4fe3e8a2,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,Нұрсултан әбіс жылы назарбайф біздің жерлесіміз.,нұрсұлтан әбішұлы назарбаев біздің жерлесіміз,нұрсултан әбіс жылы назарбайф біздің жерлесіміз
5f5af5084a3be,бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,"Бұл маған жұнбақ болып қалды, ақын керек дейтінде өвір сонша негезар болды кен.",бұл маған жұмбақ болып қалды ақын керек дейтіндей өмір сонша неге зар болды екен,бұл маған жұнбақ болып қалды ақын керек дейтінде өвір сонша негезар болды кен
5f5af5155e0fb,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,"Бірінші және екінші тармақтар ұлттық басқару, «холдингтерінің» ұлттық холдингтерінің ұлттық компаниялардың жұршыларына қатысы жоқ.",бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтер мен ұлттық компаниялардың жұмысшыларына қатысы жоқ,бірінші және екінші тармақтар ұлттық басқару холдингтерінің ұлттық холдингтерінің ұлттық компаниялардың жұршыларына қатысы жоқ
5f5af51dd15b0,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,Жандардың күйудесін лаулатып тұрыпты. Гүлім шоқ бір.,жандардың кеудесін лаулатып тұрыпты гүлім шоқ бір,жандардың күйудесін лаулатып тұрыпты гүлім шоқ бір
5f5af52759e2c,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйлығын алды.,мың тоғыз жүз тоқсан сегізінші жылы қазақстан журналистер одағының сыйлығын алды,1998 жылы қазақстан журналистер одағының сыйлығын алды
5f5af54524454,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,"Корольдік әкімшілікті орталықтандырады, соттарды өзгертіп заңдардың жаңа кодіксін жасайды.",корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодексін жасайды,корольдік әкімшілікті орталықтандырады соттарды өзгертіп заңдардың жаңа кодіксін жасайды
5f5af5502428c,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,Бірақ қасықтап қар шығарғанымен «борап жауып тұжатса амал барма» дейті жұмысшылар.,бірақ қасықтап қар шығарғанымен борап жауып жатса амал бар ма дейді жұмысшылар,бірақ қасықтап қар шығарғанымен борап жауып тұжатса амал барма дейті жұмысшылар
5f5af5562d869,атам солай деп айтты деп мақтанып қалды,"Атан солай деп айтты, деп мақтанып қалды.",атам солай деп айтты деп мақтанып қалды,атан солай деп айтты деп мақтанып қалды
5f5af56a03ebc,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,Қара ертіс ора баққан бұл қалаға әлекен кеше келген орын бордан.,қара ертіс орап аққан бұл қалаға әлекең кеше келген орынбордан,қара ертіс ора баққан бұл қалаға әлекен кеше келген орын бордан
5f5af57ab7560,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,Қазақстан Республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кариада шамамен 34 186 ғазақстандық жүр.,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кореяда шамамен отыз төрт мың италияда жүз сексен ал иранда жүз жетпіс қазақстандық жүр,қазақстан республикасының сыртқы істер министрлігінің ақпараты бойынша қазір оңтүстік кариада шамамен 34 186 ғазақстандық жүр
5f5af596c43c6,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,Міне менің алдыға қойған кішкентай да боса мақтаттарым осындай?,міне менің алдыға қойған кішкентай да болса мақсаттарым осындай,міне менің алдыға қойған кішкентай да боса мақтаттарым осындай
5f5af59dbfdf2,осы хал екеумізді жақындастырды ау деймін,Осы халы кеуімізді жақындастырды аудеймін.,осы хал екеумізді жақындастырды ау деймін,осы халы кеуімізді жақындастырды аудеймін
5f5af5a456617,одан аз болмау керек әйтпесе нарық жұмыс істемейді,Одан аз болма керек әйтпесе нарықшымыз істемейді.,одан аз болмау керек әйтпесе нарық жұмыс істемейді,одан аз болма керек әйтпесе нарықшымыз істемейді
5f5af5b0eddaa,осыған байланысты әдебиет порталы әдеби ортаға ортақ сауап тастап аға орта және кіші буынның үш өкілдік пікірін беріп отыр,"Осыған байланысты әдебиет порталы әдеби ортаға ортақ сауаптастап, аға орта және кіші бойының үші үкілдік бікірін беріп отыр.",осыған байланысты әдебиет порталы әдеби ортаға ортақ сауап тастап аға орта және кіші буынның үш өкілдік пікірін беріп отыр,осыған байланысты әдебиет порталы әдеби ортаға ортақ сауаптастап аға орта және кіші бойының үші үкілдік бікірін беріп отыр
5f5af5bb0e24c,қорытынды есеп екі де бір болып имсталькондықтар пайдасына шешілді,"Қорытынды есеп екіде бір болып, имстальқондықтар пайдасына шешілді.",қорытынды есеп екі де бір болып имсталькондықтар пайдасына шешілді,қорытынды есеп екіде бір болып имстальқондықтар пайдасына шешілді
5f5af5cc8d547,қайда екенімізді білмейміз адасқан секілдіміз деп жағдайды баяндайды,Қайда екенімізді білмейміз адасқан секілдіміз деп жағдайды баяндайды.,қайда екенімізді білмейміз адасқан секілдіміз деп жағдайды баяндайды,қайда екенімізді білмейміз адасқан секілдіміз деп жағдайды баяндайды
5f5af5d6600a8,сондықтан елорданың атын нұр сұлтан деп атауды ірі өндіріс пен фабрика жұмысшылары қолдайды,Сондықтан елорданын атынын арсылтан деп атауды ірі өнді респен пабрика жұмысшылары қолдайды.,сондықтан елорданың атын нұр сұлтан деп атауды ірі өндіріс пен фабрика жұмысшылары қолдайды,сондықтан елорданын атынын арсылтан деп атауды ірі өнді респен пабрика жұмысшылары қолдайды
5f5af5e115f7c,табылмай жанымның тұрағы таусылмай тағдырдың сұрағы жып жылы сәттерді қия алмай көзіме ыстық жас тұнады,Табылмай жанымның тұрағы таусылмай тағдырдың тұрағы жұп жыл ісәттерді қиялмай көзіме ыстық жастынады.,табылмай жанымның тұрағы таусылмай тағдырдың сұрағы жып жылы сәттерді қия алмай көзіме ыстық жас тұнады,табылмай жанымның тұрағы таусылмай тағдырдың тұрағы жұп жыл ісәттерді қиялмай көзіме ыстық жастынады
5f5af5e7b647c,жылдар жалғасып мезгілер алмасып жатты,"Жылдар жалғасып, мезгілер жұалмасып жатты.",жылдар жалғасып мезгілер алмасып жатты,жылдар жалғасып мезгілер жұалмасып жатты
5f5af5f31adeb,алып жатқан жер аумағы жүз қырық сегіз мың төрт жүз жиырма төрт шаршы километр шамасында,Алып жатқан жер аумағы 148 424 км шамасында.,алып жатқан жер аумағы жүз қырық сегіз мың төрт жүз жиырма төрт шаршы километр шамасында,алып жатқан жер аумағы 148 424 км шамасында
5f5af5fa91d18,сонда ойлап отырмыз көз майын тауысып жұмыс істеуге тура келе,Сондау әлап отырымұз көзмайын таусып жұмыс істеуге тары тура келелі.,сонда ойлап отырмыз көз майын тауысып жұмыс істеуге тура келе,сондау әлап отырымұз көзмайын таусып жұмыс істеуге тары тура келелі
5f5af60c8b924,ендеше түрлі мемлекет өкілдерімен мәдени және әдеби байланыс орнату мақсатында өткізіліп отырған бүгінгі шараның орны ерекше,"Индеше түрлі мемлекет өкілдері мен мәдени және әдеби, пайланы сорынату мақсатында өткізіліп отырған бүгінгі шараның орын ерекше.",ендеше түрлі мемлекет өкілдерімен мәдени және әдеби байланыс орнату мақсатында өткізіліп отырған бүгінгі шараның орны ерекше,индеше түрлі мемлекет өкілдері мен мәдени және әдеби пайланы сорынату мақсатында өткізіліп отырған бүгінгі шараның орын ерекше
5f5af61330198,бос әурешілік те ең жаман сезімдердің бірі,Босяу рішілікте ең жаман сезімдердің бірі.,бос әурешілік те ең жаман сезімдердің бірі,босяу рішілікте ең жаман сезімдердің бірі
5f5af61af3bd7,сол базаралыны жер аудартқан құнанбай емес абай,Сол базаралыны жер аудасқан құнанбай емес абай.,сол базаралыны жер аудартқан құнанбай емес абай,сол базаралыны жер аудасқан құнанбай емес абай
