id,ref,hyp,ref_norm,hyp_norm
1819,"В древнем Китае использовали уникальный способ обозначения периодов времени; каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.","В Древнем Китае использовали уникальный способ обозначения передов времени. Каждый этап Китая или каждая семья, находившаяся у власти, были особой династией.",в древнем китае использовали уникальный способ обозначения периодов времени каждый этап китая или каждая семья находившаяся у власти были особой династией,в древнем китае использовали уникальный способ обозначения передов времени каждый этап китая или каждая семья находившаяся у власти были особой династией
1781,"Мадагаскар намного больше других и  является самобытным континентом в том, что касается дикой природы.","Мадагаскар намного больше других и является самобытным континентом в том, что касается дикой природы.",мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы,мадагаскар намного больше других и является самобытным континентом в том что касается дикой природы
1926,"Во всех научных вопросах, включая психологию, были приняты взгляды Аристотеля.","Во всех научных вопросах, включая психологию, были приняты взгляды арестователя.",во всех научных вопросах включая психологию были приняты взгляды аристотеля,во всех научных вопросах включая психологию были приняты взгляды арестователя
1917,"В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.","В различных местах Рима были установлены большие телевизионные экраны, с помощью которых люди могли наблюдать за церемонией.",в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией,в различных местах рима были установлены большие телевизионные экраны с помощью которых люди могли наблюдать за церемонией
1751,"Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, который некоторые фискальные консерваторы в шутку назвали ""новоорлеанской сделкой Буша"".","Причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана Катрина, которые некоторые фискальные консерваторы в шутку назвали новоарлианской сделкой Буша.",причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина который некоторые фискальные консерваторы в шутку назвали новоорлеанской сделкой буша,причиной дебатов стали разногласия относительно затрат на оказание материальной поддержки и восстановление зданий после урагана катрина которые некоторые фискальные консерваторы в шутку назвали новоарлианской сделкой буша
1704,"В 1990 году он был добавлен в список всемирного наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.","В 1990 году он был добавлен в список Всемирного Наследия, находящегося под угрозой из-за опасности со стороны песков пустыни.",в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни,в 1990 году он был добавлен в список всемирного наследия находящегося под угрозой из за опасности со стороны песков пустыни
1692,"Согласно ядерному управлению Японии, на заводе были обнаружены радиоактивный цезий и йод.",Согласно ядерному управлению Японии на заводе были обнаружены радиоактивные ЦИЗИ и ЙОД.,согласно ядерному управлению японии на заводе были обнаружены радиоактивный цезий и йод,согласно ядерному управлению японии на заводе были обнаружены радиоактивные цизи и йод
1852,"Надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными. Путём активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы (Оравек, 2002).","Надлежащие использования блогов может дать учащимся возможность стать более аналитичными и критичными. Путем активного отклика на интернет-материалы учащиеся могут определять свою позицию в контексте чужих работ, а также излагать свои собственные взгляды на конкретные вопросы.",надлежащее использование блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы оравек 2002,надлежащие использования блогов может дать учащимся возможность стать более аналитичными и критичными путем активного отклика на интернет материалы учащиеся могут определять свою позицию в контексте чужих работ а также излагать свои собственные взгляды на конкретные вопросы
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.","Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутация где-то еще могут привести к гибли клеток или раку.",только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутация где то еще могут привести к гибли клеток или раку
1791,"Не оскверняйте это место, нанося или выцарапывая граффити на объекты вокруг.",Не оскверняйте это место на себя или в уцераповой граффите на объекты вокруг.,не оскверняйте это место нанося или выцарапывая граффити на объекты вокруг,не оскверняйте это место на себя или в уцераповой граффите на объекты вокруг
1903,"Когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации, то могут проявиться креативность и изобретательность.","Когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации, то могут появиться креативность и изобретательность.",когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут проявиться креативность и изобретательность,когда все доступные ресурсы эффективно используются во всех функциональных подразделениях организации то могут появиться креативность и изобретательность
1725,"Серия ASUS Eee PC, ранее представленная во всём мире с ориентацией на такие факторы, как экономия средств и функциональность, стала горячей темой во время месяца информационных технологий в Тайбэе в 2007 году.","Серия ASUS и PC, ранее представленная во всем мире с ориентацией на такие факторы, как экономия средств и функциональность, стала горячей темой во время месяца информационных технологий в Тайбее в 2007 году.",серия asus eee pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбэе в 2007 году,серия asus и pc ранее представленная во всем мире с ориентацией на такие факторы как экономия средств и функциональность стала горячей темой во время месяца информационных технологий в тайбее в 2007 году
1762,"Переносчиками являются свиньи, от которых через комаров болезнь затем передаётся человеку.","Переносчиками является свиньи, от которых через комморок болезнь затем передаётся человеку.",переносчиками являются свиньи от которых через комаров болезнь затем передается человеку,переносчиками является свиньи от которых через комморок болезнь затем передается человеку
1668,"Также может быть выгодно купить Wild Card, которая позволяет посещать национальные парки ЮАР либо выборочно, либо все.","Также может быть выгодно купить вилткарт, которая позволяет посещать национальные парки UR либо выброшенную, либо все.",также может быть выгодно купить wild card которая позволяет посещать национальные парки юар либо выборочно либо все,также может быть выгодно купить вилткарт которая позволяет посещать национальные парки ur либо выброшенную либо все
1757,"Только мутации в клетках зародышевой линии могут передаваться далее детям, в то время как мутации где-то ещё могут привести к гибели клеток или раку.",Только мутации в клетках зародышевой линии могут передаваться далее детям. В то время к мутации где-то еще могут привести гибелеклеток или раку.,только мутации в клетках зародышевой линии могут передаваться далее детям в то время как мутации где то еще могут привести к гибели клеток или раку,только мутации в клетках зародышевой линии могут передаваться далее детям в то время к мутации где то еще могут привести гибелеклеток или раку
1780,"Энергия кундалини (энергия просветления) в кундалини-йоге пробуждается через позы йоги, дыхательные упражнения, мантры и визуализации.","Энергия кундалини, энергия просветления. В кундалинии йоги пробуждается через позы йоги, дыхательные упражнения, мантры и визуализации.",энергия кундалини энергия просветления в кундалини йоге пробуждается через позы йоги дыхательные упражнения мантры и визуализации,энергия кундалини энергия просветления в кундалинии йоги пробуждается через позы йоги дыхательные упражнения мантры и визуализации
1822,"Султан Марокко перестроил город под названием Эд-Дар-эль-Бейда, а испанские торговцы, создавшие тут торговые базы, назвали его Касабланка.","Султан Марокко перестроил город под названием Ed Dar el Beida, а испанские торговцы, создавшие тут торговые базы, назвали его Casablanca.",султан марокко перестроил город под названием эд дар эль бейда а испанские торговцы создавшие тут торговые базы назвали его касабланка,султан марокко перестроил город под названием ed dar el beida а испанские торговцы создавшие тут торговые базы назвали его casablanca
1763,"Так же, как Луна притягивает Землю, при этом вызывая приливы, так и Млечный Путь воздействует на галактику в Стрельце.","Так же как Луна притягивает Землю, при этом вызывая приливы, так и Млечный путь воздействует на галактику Стрельце.",так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику в стрельце,так же как луна притягивает землю при этом вызывая приливы так и млечный путь воздействует на галактику стрельце
1884,"В частности, утверждается, что можно определить, лжет ли человек, при помощи правильной интерпретации его микровыражений.","В частности, утверждается, что можно определить, лжет ли человек при помощи правильной интерпретации его микроворажений.",в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микровыражений,в частности утверждается что можно определить лжет ли человек при помощи правильной интерпретации его микроворажений
1722,53-летний Куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце.,53-летний КОМА начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце.,53 летний куомо начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце,53 летний кома начал свою деятельность на посту губернатора в начале этого года и подписал законопроект о легализации однополых браков в прошлом месяце
1768,"Большинство зданий по краям комплекса было перестроено, чтобы дать туристам более точное представление о том, как они выглядели изначально.","Большинство зданий по краям комплекса было перестроено, чтобы дать туристам более точные представления о том, как они выгодили изначально.",большинство зданий по краям комплекса было перестроено чтобы дать туристам более точное представление о том как они выглядели изначально,большинство зданий по краям комплекса было перестроено чтобы дать туристам более точные представления о том как они выгодили изначально
1891,Лаккха Сингх исполнил чхаппан бхог бхаджан.  Певец Раджу Кханделвал пел вместе с ним.,"Лакхасинк исполнил чхапанпхоп Хаджан, пьетс Раджу Хандел Вал пел вместе с ним",лаккха сингх исполнил чхаппан бхог бхаджан певец раджу кханделвал пел вместе с ним,лакхасинк исполнил чхапанпхоп хаджан пьетс раджу хандел вал пел вместе с ним
1962,Показатель pH определяется степенью насыщенности ионами водорода (H в pH) исследуемого химического соединения.,"Показатель пиаж определяется степенью насыщенности ионами водорода, аж пиаж, исследуемого химического соединения.",показатель ph определяется степенью насыщенности ионами водорода h в ph исследуемого химического соединения,показатель пиаж определяется степенью насыщенности ионами водорода аж пиаж исследуемого химического соединения
1861,"В результате актёры курят косяки с марихуаной на сцене, и сам театр поощряет публику присоединиться.",В результате актеры курят костики с марихуаны на сцене и сам театр поощряет публику присоединиться.,в результате актеры курят косяки с марихуаной на сцене и сам театр поощряет публику присоединиться,в результате актеры курят костики с марихуаны на сцене и сам театр поощряет публику присоединиться
1715,"Обычные объявления в метро делаются только на каталонском языке, но незапланированные перебои объявляются автоматизированной системой на самых разных языках, включая испанский, английский, французский, арабский и японский.","Обычные объявления в метро делаются только на каталонском языке, но незапланированные перебои объявляются автоматизированной системой на самых разных языках, включая испанский, английский, французский, арабский и японский.",обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский,обычные объявления в метро делаются только на каталонском языке но незапланированные перебои объявляются автоматизированной системой на самых разных языках включая испанский английский французский арабский и японский
1882,"Учёные надеются понять, как образуются планеты, особенно то, как образовалась Земля, поскольку кометы сталкивались  с Землёй очень давно.","Ученые надеются понять, как образуются планета, особенно то, как образовалась Земля, поскольку кометы сталкивались с Землей очень давно.",ученые надеются понять как образуются планеты особенно то как образовалась земля поскольку кометы сталкивались с землей очень давно,ученые надеются понять как образуются планета особенно то как образовалась земля поскольку кометы сталкивались с землей очень давно
1885,Между 10:00 и 11:00 вечера по горному времени заключенные устроили пожар во дворе.,Между 10 и 11 вечера по горному времени заключенные устроили пожар во дворе.,между 10 00 и 11 00 вечера по горному времени заключенные устроили пожар во дворе,между 10 и 11 вечера по горному времени заключенные устроили пожар во дворе
